ein,organization_name,dance_styles
132947386,New York City Ballet,ballet
941415298,San Francisco Ballet,ballet
131882106,American Ballet Theatre,ballet
132584273,Alvin Ailey American Dance Theater,ballet;modern_contemporary
42312734,Boston Ballet,ballet
741394920,Houston Ballet,ballet
910897129,Pacific Northwest Ballet,ballet
364009741,Joffrey Ballet,ballet
592578534,Miami City Ballet,ballet
231629970,Pennsylvania Ballet,ballet
581047778,Atlanta Ballet,ballet
520846173,The Washington Ballet,ballet
870264274,Ballet West,ballet
237101094,Pittsburgh Ballet Theatre,ballet
316050354,Cincinnati Ballet,ballet
436052680,Kansas City Ballet,ballet
846038137,Colorado Ballet,ballet
841622654,Texas Ballet Theater,ballet
746060386,Ballet Austin,ballet
860367773,Ballet Arizona,ballet
931009305,Oregon Ballet Theatre,ballet
581440788,Nashville Ballet,ballet
581314711,Charlotte Ballet,ballet
650135900,The Sarasota Ballet,ballet
730667485,Tulsa Ballet,ballet
391134735,Milwaukee Ballet,ballet
132685755,Ballet Hispanico,ballet
310858562,BalletMet,ballet
546049848,Richmond Ballet,ballet
237427817,Orlando Ballet,ballet
362950283,Hubbard Street Dance Chicago,modern_contemporary
132642091,Dance Theatre of Harlem,ballet
561445383,Carolina Ballet,ballet
942933309,Alonzo King LINES Ballet,ballet
942427112,Nevada Ballet Theatre,ballet
621018942,Ballet Memphis,ballet
841150857,Aspen Santa Fe Ballet,ballet
616033779,Louisville Ballet,ballet
210732575,American Repertory Ballet,ballet
943197247,Smuin Ballet,ballet
237003520,Oklahoma City Ballet,ballet
751756215,Dallas Black Dance Theatre,ballet;modern_contemporary
201819852,Los Angeles Ballet,ballet
941674349,Sacramento Ballet,ballet
382026127,Grand Rapids Ballet,ballet
454887427,L.A. Dance Project,modern_contemporary
311784286,BalletX,ballet
930765746,Eugene Ballet,ballet
630813626,The Alabama Ballet,ballet
50377245,Festival Ballet Providence,ballet
820301511,Ballet Idaho,ballet
640732185,Ballet Magnificat!,ballet
342066059,Indianapolis Ballet,ballet
952582305,California Ballet,ballet
237447316,New Jersey Ballet Company,ballet
